nces_id,name,state,enrollment
0100005,Albertville City,AL,5910
0100006,Marshall County,AL,6494
0100007,Hoover City,AL,13632
0100008,Madison City,AL,13046
0100011,Leeds City,AL,2271
0100012,Boaz City,AL,2607
0100013,Trussville City,AL,5005
0100030,Alexander City,AL,2836
0100060,Andalusia City,AL,1823
0100090,Anniston City,AL,1821
0100100,Arab City,AL,2595
0100120,Athens City,AL,5405
0100180,Attalla City,AL,1460
0100185,Saraland City,AL,3514
0100188,Chickasaw City,AL,2679
0100189,Satsuma City,AL,1534
0100190,Alabaster City,AL,6316
0100194,Pelham City,AL,3444
0100195,Pike Road City,AL,2822
0100202,Gulf Shores City,AL,2748
0100210,Auburn City,AL,9488
0100240,Autauga County,AL,8888
0100270,Baldwin County,AL,31965
0100300,Barbour County,AL,658
0100330,Bessemer City,AL,3012
0100360,Bibb County,AL,3063
0100390,Birmingham City,AL,20954
0100420,Blount County,AL,7600
0100450,Brewton City,AL,1168
0100480,Bullock County,AL,1327
0100510,Butler County,AL,2699
0100540,Calhoun County,AL,7997
0100600,Chambers County,AL,3203
0100630,Cherokee County,AL,3860
0100660,Chilton County,AL,7921
0100690,Choctaw County,AL,1025
0100720,Clarke County,AL,2130
0100750,Clay County,AL,1729
0100780,Cleburne County,AL,2490
0100810,Coffee County,AL,2953
0100840,Colbert County,AL,2573
0100870,Conecuh County,AL,1344
0100900,Coosa County,AL,751
0100930,Covington County,AL,3028
0100960,Crenshaw County,AL,2063
0100990,Cullman City,AL,3243
0101020,Cullman County,AL,9901
0101050,Dale County,AL,3376
0101080,Daleville City,AL,1156
0101110,Dallas County,AL,2283
0101140,DeKalb County,AL,8769
0101170,Decatur City,AL,8902
0101200,Demopolis City,AL,1918
0101230,Dothan City,AL,8220
0101260,Elba City,AL,603
0101290,Elmore County,AL,11741
0101320,Enterprise City,AL,6612
0101350,Escambia County,AL,4072
0101380,Etowah County,AL,8739
0101410,Eufaula City,AL,8421
0101440,Fairfield City,AL,1348
0101470,Fayette County,AL,2268
0101530,Florence City,AL,4574
0101560,Fort Payne City,AL,3508
0101590,Franklin County,AL,3563
0101620,Gadsden City,AL,4940
0101640,Geneva City,AL,1229
0101660,Geneva County,AL,2814
0101680,Greene County,AL,841
0101690,Guntersville City,AL,1810
0101710,Hale County,AL,2193
0101720,Haleyville City,AL,1597
0101730,Hartselle City,AL,3683
0101740,Henry County,AL,2524
0101760,Homewood City,AL,4492
0101770,Houston County,AL,6907
0101800,Huntsville City,AL,24222
0101830,Jackson County,AL,5159
0101860,Jacksonville City,AL,1685
0101890,Jasper City,AL,2950
0101920,Jefferson County,AL,35444
0101950,Lamar County,AL,2129
0101980,Lanett City,AL,971
0102010,Lauderdale County,AL,7952
0102040,Lawrence County,AL,4676
0102070,Lee County,AL,9026
0102100,Limestone County,AL,16497
0102130,Linden City,AL,387
0102160,Lowndes County,AL,1109
0102190,Macon County,AL,1692
0102220,Madison County,AL,20691
0102250,Marengo County,AL,965
0102310,Marion County,AL,3302
0102350,Midfield City,AL,992
0102370,Mobile County,AL,49946
0102400,Monroe County,AL,2963
0102430,Montgomery County,AL,26395
0102480,Morgan County,AL,7619
0102490,Mountain Brook City,AL,4425
0102520,Muscle Shoals City,AL,2979
0102550,Oneonta City,AL,1380
0102580,Opelika City,AL,5377
0102610,Opp City,AL,1322
0102635,Oxford City,AL,4103
0102640,Ozark City,AL,1905
0102650,Pell City,AL,4079
0102670,Perry County,AL,815
0102700,Phenix City,AL,7198
0102730,Pickens County,AL,2210
0102760,Piedmont City,AL,1080
0102790,Pike County,AL,2124
0102820,Randolph County,AL,2089
0102850,Roanoke City,AL,1355
0102880,Russell County,AL,3850
0102910,Russellville City,AL,2615
0102940,Scottsboro City,AL,2457
0102970,Selma City,AL,2301
0103000,Sheffield City,AL,1029
0103030,Shelby County,AL,20638
0103062,St Clair County,AL,9658
0103090,Sumter County,AL,901
0103120,Sylacauga City,AL,1976
0103150,Talladega City,AL,1463
0103180,Talladega County,AL,7178
0103210,Tallapoosa County,AL,2822
0103240,Tallassee City,AL,1507
0103270,Tarrant City,AL,1308
0103300,Thomasville City,AL,1013
0103330,Troy City,AL,1827
0103360,Tuscaloosa City,AL,11230
0103390,Tuscaloosa County,AL,19278
0103420,Tuscumbia City,AL,1597
0103430,Vestavia Hills City,AL,6934
0103450,Walker County,AL,7091
0103480,Washington County,AL,2390
0103510,Wilcox County,AL,1147
0103540,Winfield City,AL,1204
0103580,Winston County,AL,2309
0103581,Orange Beach City,AL,1262
0200001,Lower Kuskokwim School District,AK,3823
0200003,Lower Yukon School District,AK,2027
0200004,Yupiit School District,AK,522
0200005,Kashunamiut School District,AK,320
0200007,Aleutians East Borough School District,AK,178
0200010,Aleutian Region School District,AK,21
0200020,Bering Strait School District,AK,1745
0200030,Bristol Bay Borough School District,AK,106
0200050,Alaska Gateway School District,AK,381
0200060,Cordova City School District,AK,361
0200070,Copper River School District,AK,393
0200090,Craig City School District,AK,615
0200100,Delta/Greely School District,AK,971
0200120,Dillingham City School District,AK,403
0200130,Galena City School District,AK,8168
0200150,Ketchikan Gateway Borough School District,AK,2043
0200180,Anchorage School District,AK,42573
0200210,Juneau Borough School District,AK,4085
0200240,Sitka School District,AK,1080
0200270,Haines Borough School District,AK,255
0200300,Hoonah City School District,AK,110
0200330,Hydaburg City School District,AK,117
0200360,Kake City School District,AK,117
0200390,Kenai Peninsula Borough School District,AK,8510
0200450,Klawock City School District,AK,127
0200480,Kodiak Island Borough School District,AK,2122
0200485,Lake and Peninsula Borough School District,AK,320
0200510,Matanuska-Susitna Borough School District,AK,19495
0200520,Iditarod Area School District,AK,263
0200525,Annette Island School District,AK,301
0200540,Nenana City School District,AK,2279
0200570,Nome Public Schools,AK,672
0200600,Fairbanks North Star Borough School District,AK,11857
0200610,North Slope Borough School District,AK,1853
0200625,Northwest Arctic Borough School District,AK,1945
0200630,Pelican City School District,AK,12
0200660,Petersburg Borough School District,AK,464
0200670,Pribilof School District,AK,65
0200680,Saint Mary's School District,AK,178
0200690,Skagway School District,AK,138
0200700,Southeast Island School District,AK,164
0200710,Southwest Region School District,AK,615
0200720,Unalaska City School District,AK,337
0200730,Chatham School District,AK,161
0200760,Kuspuk School District,AK,309
0200770,Denali Borough School District,AK,1073
0200775,Yukon Flats School District,AK,175
0200780,Valdez City School District,AK,605
0200800,Chugach School District,AK,617
0200810,Wrangell Public School District,AK,264
0200840,Yakutat School District,AK,95
0200862,Yukon-Koyukuk School District,AK,4024
0400001,Cave Creek Unified District (4244),AZ,3821
0400003,Chino Valley Unified District (4474),AZ,2227
0400004,Clarkdale-Jerome Elementary District (4486),AZ,459
0400005,Salome Consolidated Elementary District (4514),AZ,119
0400021,Colorado City Unified District (4370),AZ,544
0400022,Vernon Elementary District (4162),AZ,138
0400023,Pinon Unified District (4390),AZ,1019
0400026,Heber-Overgaard Unified District (4392),AZ,490
0400082,Colorado River Union High School District (4381),AZ,1847
0400163,Coconino County Accommodation School District (10386),AZ,151
0400212,Benson Unified School District (79226),AZ,1287
0400295,Kingman Unified School District (79598),AZ,6996
0400315,Yavapai Accommodation School District (79379),AZ,71
0400419,Gila County Regional School District (87600),AZ,10
0400450,Agua Fria Union High School District (4289),AZ,10089
0400480,Aguila Elementary District (4249),AZ,141
0400520,Ajo Unified District (4409),AZ,397
0400600,Alhambra Elementary District (4280),AZ,9742
0400630,Alpine Elementary District (4161),AZ,56
0400680,Amphitheater Unified District (4406),AZ,11277
0400720,Antelope Union High School District (4506),AZ,199
0400750,Apache Elementary District (4178),AZ,6
0400790,Apache Junction Unified District (4443),AZ,2440
0400840,Arlington Elementary District (4274),AZ,297
0400870,Ash Creek Elementary District (4187),AZ,29
0400910,Ash Fork Joint Unified District (4471),AZ,293
0400960,Avondale Elementary District (4272),AZ,6000
0401000,Bagdad Unified District (4468),AZ,517
0401015,Cochise County Accommodation School District (1001687),AZ,311
0401050,Balsz Elementary District (4268),AZ,1936
0401080,Beaver Creek Elementary District (4481),AZ,331
0401160,Bicentennial Union High School District (4515),AZ,120
0401180,Bisbee Unified District (4169),AZ,622
0401230,Blue Elementary District (4231),AZ,13
0401260,Bonita Elementary District (4224),AZ,94
0401290,Bouse Elementary District (4513),AZ,52
0401330,Bowie Unified District (4171),AZ,73
0401380,Buckeye Elementary District (4269),AZ,6221
0401410,Buckeye Union High School District (4284),AZ,5650
0401460,Sierra Vista Unified District (4175),AZ,4043
0401500,Bullhead City School District (4378),AZ,2191
0401600,Camp Verde Unified District (4470),AZ,1615
0401650,Canon Elementary District (4484),AZ,117
0401680,Cartwright Elementary District (4282),AZ,13436
0401710,Casa Grande Elementary District (4446),AZ,6630
